Date,vxx_ret,spy_ret
2009-02-06,-0.06578695735322238,0.05010268174978627
2009-02-09,-0.04719424460431654,0.05473480480926041
2009-02-13,0.04390992835209828,-0.04851676996144483
2009-02-17,0.07812342696063634,-0.09047064524982518
2009-02-18,0.03460803059273432,-0.04909093191305791
2009-02-19,0.05054817114582333,-0.06483261710822108
2009-02-20,0.10276372129233158,-0.07458753057126355
2009-02-23,0.17050691244239635,-0.09799439541406207
2009-02-26,0.0022164758034723953,-0.03274510615997628
2009-02-27,-0.041034239322273125,-0.0450786230219985
2009-03-02,-0.025046071368738487,-0.05425291214444261
2009-03-03,0.07235381199111779,-0.0956378315416967
2009-03-04,0.0033503955328060275,-0.06686586766058478
2009-03-05,0.05326207150755624,-0.09018763375731353
2009-03-06,0.04334222876598881,-0.06776674147168238
2009-03-09,-0.02208093478821216,-0.03526917002044927
2009-03-12,-0.10113735783027122,0.09738384526453503
2009-03-13,-0.0805256659022755,0.10403350777505138
2009-03-16,-0.051836232648040714,0.1137866624165591
2009-03-17,-0.011011961268274084,0.08327556477670583
2009-03-18,-0.0011476664116297774,0.10035784263649217
2009-03-19,0.06423982869379019,0.04556266107506213
2009-03-23,0.0064862861378798264,0.09159619734195878
2009-03-24,0.059704357842196076,0.03833297687143444
2009-03-26,-0.04554600329248215,0.0603606641786254
2009-03-27,-0.07459568537029437,0.06387724345137613
2009-03-30,0.06140673909040695,-0.041717350361232364
2009-04-03,0.0010250675612710758,0.03247121824526866
2009-04-06,-0.06305837453378449,0.0610481814156183
2009-04-15,-0.09267660401814648,0.044090932536854366
2009-04-16,-0.10276044620911329,0.048103941397867445
2009-04-29,-0.03375921886361277,0.03371195615110856
2009-05-04,-0.10872660699755898,0.05871398570766373
2009-05-05,-0.08989805375347548,0.05843195418307179
2009-05-06,-0.08256288970113945,0.05435431876097896
2009-05-07,-0.07668515358361783,0.03935017336288915
2009-05-08,-0.10706568712186681,0.05791307640711252
2009-05-13,0.002226388563393522,-0.03755160382684131
2009-05-15,0.009437386569872919,-0.04592322850161579
2009-05-29,-0.04614443084455322,0.03721585612789924
2009-06-01,-0.11227777114902748,0.06459266671547748
2009-06-02,-0.040707289148963266,0.038882496925614296
2009-06-03,-0.02214250371103421,0.04438503192442189
2009-06-04,-0.02698293172690769,0.039705572728365945
2009-06-16,0.04767034742795562,-0.031698909916317075
2009-06-17,0.05266666666666664,-0.030190454600504957
2009-06-22,0.05286988946597404,-0.03353800921083527
2009-06-29,-0.15304831773336713,0.03830656571417124
2009-07-07,0.0878136200716848,-0.05005395597674467
2009-07-08,0.09235060930847161,-0.042958676639683335
2009-07-09,0.07871462264150941,-0.04505589707041846
2009-07-15,-0.09368279569892468,0.059773092932432936
2009-07-16,-0.09387810877288882,0.05602843382321021
2009-07-17,-0.093233082706767,0.07014596292881192
2009-07-20,-0.08005657708628,0.05582667663149854
2009-07-21,-0.07289557419728099,0.05473980592373473
2009-07-23,-0.1008897602171619,0.048866654568075596
2009-07-24,-0.10492989597467206,0.04175071954632803
2009-07-27,-0.07749077490774914,0.033848201719482995
2009-08-24,-0.08232640567101657,0.047299155189731046
2009-08-25,-0.0425636811832375,0.04107361864227532
2009-08-26,0.0010188487009679115,0.03211295354758237
2009-09-02,0.06344359626802376,-0.032470588501220754
2009-09-09,-0.12989095574085952,0.03522976914571552
2009-09-10,-0.16876694847663098,0.04978974856073304
2009-09-11,-0.11589348517836207,0.04093390881719072
2009-09-14,-0.11584400137045048,0.03155005866158289
2009-09-16,-0.08735716918540348,0.034608556151435765
2009-10-08,-0.08156399235912126,0.03534995129416996
2009-10-09,-0.0940072755121577,0.04654131988999022
2009-10-12,-0.09230014895729888,0.03518585801188667
2009-10-14,-0.0792328319382708,0.03317571630800109
2009-10-28,0.049079754601227155,-0.035295342315443734
2009-10-30,0.13941398865784493,-0.041821324755187406
2009-11-06,-0.07445043550394015,0.03447284715595922
2009-11-09,-0.138575241223568,0.05032627594883854
2009-11-10,-0.12899917965545526,0.04720479468486083
2009-11-11,-0.12241521918941278,0.04984756989778538
2010-01-22,0.10921739130434793,-0.04976943576143111
2010-01-25,0.07048458149779724,-0.03405482188954867
2010-01-26,0.14018691588785037,-0.049974188699624555
2010-01-27,0.11470693994965853,-0.03564828163900913
2010-02-16,-0.10477334133893734,0.0363585873661465
2010-02-18,-0.1324400124649424,0.036445006465660956
2010-03-05,-0.08672499049068083,0.031696045531638184
2010-05-06,0.33421859039836566,-0.06553028474621359
2010-05-07,0.37906647807637905,-0.06354654545914862
2010-05-10,0.23364485981308403,-0.03481507872299716
2010-05-19,0.23982389101179602,-0.04844622156044376
2010-05-20,0.37795753286147615,-0.072851142651284
2010-05-21,0.2401340282948623,-0.04197036286759703
2010-05-24,0.205240174672489,-0.05476074843304424
2010-05-25,0.08685204256779966,-0.04074736412651847
2010-05-26,0.0395309882747068,-0.041070112541921056
2010-06-03,-0.08475668707702233,0.033031602052230324
2010-06-04,0.10448288033886333,-0.035572475060537845
2010-06-07,0.12911126662001426,-0.03547558034256182
2010-06-09,0.08001385521302384,-0.03879248855656969
2010-06-14,-0.11899597149054864,0.03810792980244848
2010-06-15,-0.14255435306207653,0.050459734000549705
2010-06-16,-0.1576010262989096,0.055728447131941916
2010-06-24,0.11089341692789967,-0.037532758130824795
2010-06-25,0.10570402871958517,-0.03454723131149551
2010-06-28,0.10596546310832022,-0.03482649480526312
2010-06-29,0.16232540581351462,-0.04891836268724559
2010-06-30,0.1681018345189067,-0.05502144939761178
2010-07-01,0.08994708994708978,-0.0433809306315871
