,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
465,2022-03-17,BOT,1,FUT,ES,ES,50,4370.75,2.15,20220317  10:11:27,DH,1,-218539.65
466,2022-03-17,SLD,1,FUT,ES,ES,50,4367.0,2.15,20220317  10:13:27,DH,-1,218347.85
467,2022-03-17,SLD,1,FUT,ES,ES,50,4360.5,2.15,20220317  10:33:28,DH,-1,218022.85
468,2022-03-17,SLD,1,FUT,ES,ES,50,4347.75,2.15,20220317  10:49:28,DH,-1,217385.35
487,2022-03-17,BOT,1,FUT,ES,ES,50,4360.25,2.15,20220317  11:25:28,DH,1,-218014.65
488,2022-03-17,SLD,1,FUT,ES,ES,50,4356.75,2.15,20220317  11:29:28,DH,-1,217835.35
489,2022-03-17,BOT,1,FUT,ES,ES,50,4359.75,2.15,20220317  11:31:28,DH,1,-217989.65
490,2022-03-17,SLD,1,FUT,ES,ES,50,4359.0,2.15,20220317  11:35:28,DH,-1,217947.85
491,2022-03-17,BOT,1,FUT,ES,ES,50,4365.0,2.15,20220317  11:40:25,DH,1,-218252.15
492,2022-03-17,SLD,1,FUT,ES,ES,50,4356.25,2.15,20220317  11:48:23,DH,-1,217810.35
493,2022-03-17,BOT,1,FUT,ES,ES,50,4362.75,2.15,20220317  11:54:23,DH,1,-218139.65
494,2022-03-17,BOT,1,FUT,ES,ES,50,4377.25,2.15,20220317  12:22:23,DH,1,-218864.65
495,2022-03-17,BOT,1,FUT,ES,ES,50,4385.5,2.15,20220317  13:26:24,DH,1,-219277.15
496,2022-03-17,BOT,1,FUT,ES,ES,50,4396.0,2.15,20220317  13:42:24,DH,1,-219802.15
497,2022-03-17,BOT,5,FUT,ES,ES,50,4401.0,10.75,20220317  13:56:25,DH,5,-1100260.75
498,2022-03-17,SLD,5,FUT,ES,ES,50,4399.5,10.75,20220317  13:56:49,DH,-5,1099864.25
499,2022-03-17,SLD,1,FUT,ES,ES,50,4390.25,2.15,20220317  14:24:25,DH,-1,219510.35
500,2022-03-17,BOT,1,FUT,ES,ES,50,4392.75,2.15,20220317  14:34:25,DH,1,-219639.65
501,2022-03-17,SLD,1,FUT,ES,ES,50,4392.5,2.15,20220317  14:36:25,DH,-1,219622.85
502,2022-03-17,BOT,1,FUT,ES,ES,50,4392.75,2.15,20220317  14:46:25,DH,1,-219639.65
525,2022-03-17,SLD,1,FUT,ES,ES,50,4390.25,2.15,20220317  15:17:23,DH,-1,219510.35
526,2022-03-17,BOT,1,FUT,ES,ES,50,4403.0,2.15,20220317  15:52:26,DH,1,-220152.15
527,2022-03-17,BOT,2,FUT,ES,ES,50,4413.25,4.3,20220317  16:00:25,DH,2,-441329.3
532,2022-03-17,SLD,1,FUT,ES,ES,50,4404.25,2.15,20220317  16:09:31,DH,-1,220210.35
533,2022-03-17,SLD,1,FUT,ES,ES,50,4404.0,2.15,20220317  16:09:31,DH,-1,220197.85
547,2022-03-18,BOT,1,FUT,ES,ES,50,4414.5,2.15,20220318  11:37:54,DH,1,-220727.15
548,2022-03-18,SLD,1,FUT,ES,ES,50,4408.0,2.15,20220318  11:41:54,DH,-1,220397.85
549,2022-03-18,SLD,2,FUT,ES,ES,50,4405.5,4.3,20220318  11:48:13,DH,-2,440545.7
550,2022-03-18,SLD,2,FUT,ES,ES,50,4406.75,4.3,20220318  11:48:15,DH,-2,440670.7
551,2022-03-18,BOT,2,FUT,ES,ES,50,4406.25,4.3,20220318  11:48:56,DH,2,-440629.3
552,2022-03-18,BOT,1,FUT,ES,ES,50,4415.25,2.15,20220318  12:18:27,DH,1,-220764.65
553,2022-03-18,SLD,1,FUT,ES,ES,50,4412.5,2.15,20220318  12:20:27,DH,-1,220622.85
554,2022-03-18,BOT,1,FUT,ES,ES,50,4415.25,2.15,20220318  12:24:27,DH,1,-220764.65
555,2022-03-18,BOT,1,FUT,ES,ES,50,4423.5,2.15,20220318  12:40:27,DH,1,-221177.15
556,2022-03-18,SLD,1,FUT,ES,ES,50,4419.75,2.15,20220318  12:48:27,DH,-1,220985.35
557,2022-03-18,BOT,1,FUT,ES,ES,50,4421.5,2.15,20220318  12:50:27,DH,1,-221077.15
558,2022-03-18,SLD,1,FUT,ES,ES,50,4422.25,2.15,20220318  13:04:27,DH,-1,221110.35
559,2022-03-18,BOT,1,FUT,ES,ES,50,4422.5,2.15,20220318  13:06:27,DH,1,-221127.15
560,2022-03-18,BOT,1,FUT,ES,ES,50,4429.0,2.15,20220318  13:26:27,DH,1,-221452.15
561,2022-03-18,SLD,1,FUT,ES,ES,50,4428.25,2.15,20220318  13:42:27,DH,-1,221410.35
562,2022-03-18,BOT,1,FUT,ES,ES,50,4429.75,2.15,20220318  13:50:27,DH,1,-221489.65
563,2022-03-18,SLD,1,FUT,ES,ES,50,4428.5,2.15,20220318  13:52:27,DH,-1,221422.85
564,2022-03-18,BOT,1,FUT,ES,ES,50,4429.5,2.15,20220318  14:02:27,DH,1,-221477.15
565,2022-03-18,SLD,1,FUT,ES,ES,50,4428.25,2.15,20220318  14:04:27,DH,-1,221410.35
566,2022-03-18,BOT,1,FUT,ES,ES,50,4431.0,2.15,20220318  14:16:28,DH,1,-221552.15
567,2022-03-18,SLD,1,FUT,ES,ES,50,4429.75,2.15,20220318  14:20:28,DH,-1,221485.35
568,2022-03-18,BOT,1,FUT,ES,ES,50,4431.0,2.15,20220318  14:24:28,DH,1,-221552.15
569,2022-03-18,SLD,1,FUT,ES,ES,50,4428.0,2.15,20220318  14:26:28,DH,-1,221397.85
570,2022-03-18,BOT,1,FUT,ES,ES,50,4430.25,2.15,20220318  14:34:28,DH,1,-221514.65
571,2022-03-18,SLD,1,FUT,ES,ES,50,4428.25,2.15,20220318  14:42:28,DH,-1,221410.35
572,2022-03-18,BOT,1,FUT,ES,ES,50,4431.25,2.15,20220318  14:46:28,DH,1,-221564.65
573,2022-03-18,BOT,1,FUT,ES,ES,50,4438.0,2.15,20220318  15:06:28,DH,1,-221902.15
574,2022-03-18,BOT,1,FUT,ES,ES,50,4445.75,2.15,20220318  15:21:37,DH,1,-222289.65
575,2022-03-18,BOT,1,FUT,ES,ES,50,4449.25,2.15,20220318  15:27:36,DH,1,-222464.65
578,2022-03-18,BOT,1,FUT,ES,ES,50,4456.25,2.15,20220318  15:35:37,DH,1,-222814.65
581,2022-03-18,SLD,2,FUT,ES,ES,50,4447.0,4.3,20220318  15:37:37,DH,-2,444695.7
582,2022-03-18,BOT,1,FUT,ES,ES,50,4448.25,2.15,20220318  15:41:37,DH,1,-222414.65
583,2022-03-18,SLD,1,FUT,ES,ES,50,4449.0,2.15,20220318  15:51:37,DH,-1,222447.85
584,2022-03-18,BOT,1,FUT,ES,ES,50,4450.5,2.15,20220318  15:53:37,DH,1,-222527.15
585,2022-03-18,SLD,2,FUT,ES,ES,50,4453.75,4.3,20220318  15:57:10,DH,-2,445370.7
