,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
96,2022-03-07,BOT,1,FUT,ES,ES,50,4232.0,2.15,20220307  14:09:36,DH,1,-211602.15
97,2022-03-07,BOT,1,FUT,ES,ES,50,4241.5,2.15,20220307  14:17:36,DH,1,-212077.15
98,2022-03-07,SLD,1,FUT,ES,ES,50,4235.75,2.15,20220307  14:21:36,DH,-1,211785.35
99,2022-03-07,SLD,1,FUT,ES,ES,50,4229.75,2.15,20220307  14:23:36,DH,-1,211485.35
100,2022-03-07,BOT,1,FUT,ES,ES,50,4232.75,2.15,20220307  14:25:36,DH,1,-211639.65
101,2022-03-07,SLD,1,FUT,ES,ES,50,4229.0,2.15,20220307  14:31:36,DH,-1,211447.85
102,2022-03-07,SLD,1,FUT,ES,ES,50,4221.0,2.15,20220307  14:43:36,DH,-1,211047.85
103,2022-03-07,BOT,1,FUT,ES,ES,50,4226.0,2.15,20220307  14:47:36,DH,1,-211302.15
104,2022-03-07,SLD,1,FUT,ES,ES,50,4224.5,2.15,20220307  14:49:36,DH,-1,211222.85
105,2022-03-07,SLD,1,FUT,ES,ES,50,4216.25,2.15,20220307  15:09:36,DH,-1,210810.35
106,2022-03-07,BOT,1,FUT,ES,ES,50,4215.5,2.15,20220307  15:21:37,DH,1,-210777.15
107,2022-03-07,SLD,1,FUT,ES,ES,50,4211.0,2.15,20220307  15:31:37,DH,-1,210547.85
123,2022-03-07,SLD,1,FUT,ES,ES,50,4208.0,2.15,20220307  15:41:37,DH,-1,210397.85
124,2022-03-07,BOT,1,FUT,ES,ES,50,4213.75,2.15,20220307  15:43:37,DH,1,-210689.65
125,2022-03-07,SLD,1,FUT,ES,ES,50,4210.0,2.15,20220307  15:45:37,DH,-1,210497.85
126,2022-03-07,SLD,6,FUT,ES,ES,50,4202.5,12.9,20220307  15:55:24,DH,-6,1260737.1
141,2022-03-09,BOT,1,FUT,ES,ES,50,4262.0,2.15,20220309  11:25:07,DH,1,-213102.15
142,2022-03-09,BOT,1,FUT,ES,ES,50,4269.75,2.15,20220309  11:35:07,DH,1,-213489.65
143,2022-03-09,BOT,1,FUT,ES,ES,50,4276.0,2.15,20220309  11:57:19,DH,1,-213802.15
144,2022-03-09,SLD,1,FUT,ES,ES,50,4268.5,2.15,20220309  13:47:20,DH,-1,213422.85
145,2022-03-09,BOT,1,FUT,ES,ES,50,4275.5,2.15,20220309  13:53:20,DH,1,-213777.15
146,2022-03-09,SLD,1,FUT,ES,ES,50,4270.0,2.15,20220309  13:55:20,DH,-1,213497.85
147,2022-03-09,BOT,1,FUT,ES,ES,50,4273.25,2.15,20220309  14:01:20,DH,1,-213664.65
148,2022-03-09,SLD,1,FUT,ES,ES,50,4270.5,2.15,20220309  14:17:20,DH,-1,213522.85
149,2022-03-09,BOT,1,FUT,ES,ES,50,4275.75,2.15,20220309  14:21:20,DH,1,-213789.65
150,2022-03-09,BOT,1,FUT,ES,ES,50,4292.0,2.15,20220309  15:30:35,DH,1,-214602.15
163,2022-03-09,SLD,1,FUT,ES,ES,50,4293.75,2.15,20220309  15:34:34,DH,-1,214685.35
180,2022-03-09,BOT,1,FUT,ES,ES,50,4293.0,2.15,20220309  15:36:34,DH,1,-214652.15
181,2022-03-09,SLD,1,FUT,ES,ES,50,4290.75,2.15,20220309  15:38:34,DH,-1,214535.35
182,2022-03-09,SLD,11,FUT,ES,ES,50,4283.5,23.65,20220309  15:50:35,DH,-11,2355901.35
183,2022-03-09,SLD,19,FUT,ES,ES,50,4283.25,40.85,20220309  15:50:35,DH,-19,4069046.65
184,2022-03-09,SLD,1,FUT,ES,ES,50,4279.0,2.15,20220309  15:51:07,DH,-1,213947.85
185,2022-03-09,BOT,21,FUT,ES,ES,50,4276.25,45.15,20220309  15:52:01,DH,21,-4490107.65
186,2022-03-09,BOT,10,FUT,ES,ES,50,4276.5,21.5,20220309  15:52:01,DH,10,-2138271.5
191,2022-03-08,BOT,1,FUT,ES,ES,50,4203.25,2.15,20220308  09:30:41,DH,1,-210164.65
192,2022-03-08,SLD,1,FUT,ES,ES,50,4196.25,2.15,20220308  09:32:40,DH,-1,209810.35
193,2022-03-08,SLD,1,FUT,ES,ES,50,4193.0,2.15,20220308  09:34:40,DH,-1,209647.85
194,2022-03-08,BOT,2,FUT,ES,ES,50,4208.25,4.3,20220308  09:36:40,DH,2,-420829.3
195,2022-03-08,SLD,1,FUT,ES,ES,50,4199.75,2.15,20220308  09:38:40,DH,-1,209985.35
196,2022-03-08,SLD,2,FUT,ES,ES,50,4181.0,4.3,20220308  09:40:40,DH,-2,418095.7
197,2022-03-08,BOT,1,FUT,ES,ES,50,4192.25,2.15,20220308  09:42:40,DH,1,-209614.65
198,2022-03-08,BOT,2,FUT,ES,ES,50,4204.75,4.3,20220308  09:44:40,DH,2,-420479.3
199,2022-03-08,BOT,1,FUT,ES,ES,50,4212.0,2.15,20220308  09:46:40,DH,1,-210602.15
200,2022-03-08,SLD,2,FUT,ES,ES,50,4198.75,4.3,20220308  09:50:40,DH,-2,419870.7
201,2022-03-08,BOT,1,FUT,ES,ES,50,4203.5,2.15,20220308  09:52:40,DH,1,-210177.15
202,2022-03-08,SLD,2,FUT,ES,ES,50,4188.5,4.3,20220308  09:54:40,DH,-2,418845.7
203,2022-03-08,SLD,1,FUT,ES,ES,50,4186.75,2.15,20220308  09:56:40,DH,-1,209335.35
204,2022-03-08,BOT,1,FUT,ES,ES,50,4188.25,2.15,20220308  09:58:30,DH,1,-209414.65
205,2022-03-08,SLD,2,FUT,ES,ES,50,4180.5,4.3,20220308  10:00:29,DH,-2,418045.7
206,2022-03-08,SLD,1,FUT,ES,ES,50,4174.0,2.15,20220308  10:02:29,DH,-1,208697.85
207,2022-03-08,SLD,1,FUT,ES,ES,50,4170.0,2.15,20220308  10:04:29,DH,-1,208497.85
208,2022-03-08,SLD,1,FUT,ES,ES,50,4164.75,2.15,20220308  10:08:29,DH,-1,208235.35
209,2022-03-08,BOT,1,FUT,ES,ES,50,4170.0,2.15,20220308  10:12:29,DH,1,-208502.15
210,2022-03-08,BOT,2,FUT,ES,ES,50,4182.5,4.3,20220308  10:16:29,DH,2,-418254.3
211,2022-03-08,BOT,2,FUT,ES,ES,50,4193.25,4.3,20220308  10:20:29,DH,2,-419329.3
212,2022-03-08,SLD,1,FUT,ES,ES,50,4185.25,2.15,20220308  10:22:29,DH,-1,209260.35
213,2022-03-08,SLD,1,FUT,ES,ES,50,4180.25,2.15,20220308  10:24:29,DH,-1,209010.35
214,2022-03-08,SLD,1,FUT,ES,ES,50,4173.5,2.15,20220308  10:26:29,DH,-1,208672.85
215,2022-03-08,SLD,1,FUT,ES,ES,50,4166.25,2.15,20220308  10:32:29,DH,-1,208310.35
216,2022-03-08,SLD,1,FUT,ES,ES,50,4159.25,2.15,20220308  10:34:29,DH,-1,207960.35
217,2022-03-08,BOT,1,FUT,ES,ES,50,4163.5,2.15,20220308  10:36:29,DH,1,-208177.15
218,2022-03-08,BOT,1,FUT,ES,ES,50,4168.75,2.15,20220308  10:42:29,DH,1,-208439.65
219,2022-03-08,BOT,1,FUT,ES,ES,50,4175.75,2.15,20220308  10:48:29,DH,1,-208789.65
220,2022-03-08,BOT,1,FUT,ES,ES,50,4183.0,2.15,20220308  10:54:29,DH,1,-209152.15
221,2022-03-08,BOT,1,FUT,ES,ES,50,4187.0,2.15,20220308  10:56:29,DH,1,-209352.15
222,2022-03-08,BOT,2,FUT,ES,ES,50,4195.75,4.3,20220308  10:58:29,DH,2,-419579.3
298,2022-03-18,BOT,1,FUT,ES,ES,50,4394.25,2.15,20220318  09:36:34,DH,1,-219714.65
