,quantity,quantity_direction,hedge_value,remain_hedge_value,hedge_cost,hedge_cost_per_trade
2022-03-07,53,-13,2735898.55,2740859.5500000007,-4961.000000000931,-248.05000000004657
2022-03-08,156,0,-28147.89999999758,0.0,-28147.89999999758,-360.8705128204818
2022-03-09,45,13,-2767609.2499999967,-2764277.9499999993,-3331.2999999974854,-208.20624999984284
2022-03-17,39,3,-662021.3500000001,-658293.95,-3727.4000000001397,-207.07777777778554
2022-03-18,64,6,-1327775.0999999999,-1325987.9,-1787.1999999999534,-61.62758620689495
