,index,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
290,572,2022-03-18,BOT,1,FUT,ES,ES,50,4431.25,2.15,20220318  14:46:28,DH,1,-443127.15
291,573,2022-03-18,BOT,1,FUT,ES,ES,50,4438.0,2.15,20220318  15:06:28,DH,1,-443802.15
292,574,2022-03-18,BOT,1,FUT,ES,ES,50,4445.75,2.15,20220318  15:21:37,DH,1,-444577.15
293,575,2022-03-18,BOT,1,FUT,ES,ES,50,4449.25,2.15,20220318  15:27:36,DH,1,-444927.15
294,578,2022-03-18,BOT,1,FUT,ES,ES,50,4456.25,2.15,20220318  15:35:37,DH,1,-2.15
295,581,2022-03-18,SLD,2,FUT,ES,ES,50,4447.0,4.3,20220318  15:37:37,DH,-2,8893995.7
296,582,2022-03-18,BOT,1,FUT,ES,ES,50,4448.25,2.15,20220318  15:41:37,DH,1,-4448252.15
297,583,2022-03-18,SLD,1,FUT,ES,ES,50,4449.0,2.15,20220318  15:51:37,DH,-1,4448997.85
298,584,2022-03-18,BOT,1,FUT,ES,ES,50,4450.5,2.15,20220318  15:53:37,DH,1,-222527.15
299,585,2022-03-18,SLD,2,FUT,ES,ES,50,4453.75,4.3,20220318  15:57:10,DH,-2,445370.7
