,vol_20_day
2009-07-10 00:00:00,0.21137391620661938
2009-07-13 00:00:00,0.209545893751384
2009-07-14 00:00:00,0.23084450479899832
2009-07-15 00:00:00,0.21896900114019913
2009-07-16 00:00:00,0.23797182877552414
2009-07-17 00:00:00,0.23806068413511555
2009-07-20 00:00:00,0.2396381903369271
2009-07-21 00:00:00,0.24176562568598448
2009-07-22 00:00:00,0.21070111252539472
2009-07-23 00:00:00,0.21089989373482756
2009-07-24 00:00:00,0.22047969074412302
2009-07-27 00:00:00,0.2104315835452922
2009-07-28 00:00:00,0.20930709586390409
2009-07-29 00:00:00,0.21003352738248576
2009-07-30 00:00:00,0.2070851478130018
2009-07-31 00:00:00,0.20871167308540725
2009-08-03 00:00:00,0.17482787665330798
2009-08-04 00:00:00,0.17848568082349955
2009-08-05 00:00:00,0.1527756276228288
2009-08-06 00:00:00,0.15438926923508983
2009-08-07 00:00:00,0.1592645803570657
2009-08-10 00:00:00,0.1575414990194577
2009-08-11 00:00:00,0.1467086667128451
2009-08-12 00:00:00,0.16036449762761879
2009-08-13 00:00:00,0.1343727495885579
2009-08-14 00:00:00,0.13332366350917682
2009-08-17 00:00:00,0.13749902957889656
2009-08-18 00:00:00,0.16687970170691438
2009-08-19 00:00:00,0.16805856666274346
2009-08-20 00:00:00,0.16961009078769831
2009-08-21 00:00:00,0.15600833483038856
2009-08-24 00:00:00,0.16836164445397891
2009-08-25 00:00:00,0.16860045205793991
2009-08-26 00:00:00,0.1665681302716658
2009-08-27 00:00:00,0.16577097801539295
2009-08-28 00:00:00,0.16329553802744626
2009-08-31 00:00:00,0.16352343604301806
2009-09-01 00:00:00,0.15909731826345908
2009-09-02 00:00:00,0.17876226996123634
2009-09-03 00:00:00,0.17897367986828638
2009-09-04 00:00:00,0.18043261698103147
2009-09-08 00:00:00,0.18129170034062306
2009-09-09 00:00:00,0.18325388483468993
2009-09-10 00:00:00,0.17743728988482893
2009-09-11 00:00:00,0.1771141526149276
2009-09-14 00:00:00,0.1759863953967594
2009-09-15 00:00:00,0.1728084058158075
2009-09-16 00:00:00,0.14073382253987823
2009-09-17 00:00:00,0.145849923079105
2009-09-18 00:00:00,0.14597703053937458
2009-09-21 00:00:00,0.1440420233927931
2009-09-22 00:00:00,0.1311300198634728
2009-09-23 00:00:00,0.1315972340171251
2009-09-24 00:00:00,0.13682470905389513
2009-09-25 00:00:00,0.14406808773031526
2009-09-28 00:00:00,0.14581473645793866
2009-09-29 00:00:00,0.15785950661775391
2009-09-30 00:00:00,0.15395672821617964
2009-10-01 00:00:00,0.12756170806169567
2009-10-02 00:00:00,0.1598952904148922
2009-10-05 00:00:00,0.15956094898751672
2009-10-06 00:00:00,0.16057046469977174
2009-10-07 00:00:00,0.16525559157562153
2009-10-08 00:00:00,0.16374157628126826
2009-10-09 00:00:00,0.16213048912602632
2009-10-12 00:00:00,0.16297535220386508
2009-10-13 00:00:00,0.16274636647586055
2009-10-14 00:00:00,0.16284373478342462
2009-10-15 00:00:00,0.16537051671610803
2009-10-16 00:00:00,0.16526597177874008
2009-10-19 00:00:00,0.16828608468187153
2009-10-20 00:00:00,0.1695890384448496
2009-10-21 00:00:00,0.170500216186988
2009-10-22 00:00:00,0.17099711177050778
2009-10-23 00:00:00,0.16773080642490767
2009-10-26 00:00:00,0.1726284288399936
2009-10-27 00:00:00,0.16703881925004088
2009-10-28 00:00:00,0.16754877556237183
2009-10-29 00:00:00,0.18043147356782116
2009-10-30 00:00:00,0.17230371976686104
2009-11-02 00:00:00,0.20325225002938307
2009-11-03 00:00:00,0.19786935676671685
2009-11-04 00:00:00,0.1911689003588919
2009-11-05 00:00:00,0.1911337818113342
2009-11-06 00:00:00,0.2006619148372561
2009-11-09 00:00:00,0.19968145618098104
2009-11-10 00:00:00,0.21518879090800166
2009-11-11 00:00:00,0.21492197544569902
2009-11-12 00:00:00,0.2070093511690762
2009-11-13 00:00:00,0.2099757493196142
2009-11-16 00:00:00,0.20905719993981217
